"fire","point","int.1","int.2","int.3","int.4","int.5","fa","lat","snag.ct","cc","elev.res"
"Crater","DM08",0,0,0,0,0,8,37.9009739918020,8,96.2150017802616,364.413705475799
"Dexter","RS04",0,NA,0,0,0,6,37.8363300332527,0,42.3469354865261,1413.30816038363
"Crater","RS02",0,NA,0,0,0,8,37.8957271134876,2,45.5367227658726,441.888999166592
"Dexter","RS07",0,0,1,NA,NA,6,37.8393788480324,19,80.2834122934559,1504.77519686679
"Crater","RS03",0,0,0,0,0,8,37.8949415982712,11,32.2996294477017,441.511022948356
"Crater","RS06",0,NA,0,0,1,8,37.8905197117138,0,83.5807773155005,439.383288280021
"Crater","DM05",0,NA,0,0,0,8,37.8967604861662,3,35.0794544836532,522.386240071582
"Crater","RS10",0,NA,1,NA,NA,8,37.8898530015759,7,36.50660681812,439.062478992916
"Crater","DM04",0,0,0,1,NA,8,37.8952582186596,1,49.3982090921627,541.663375155574
"Crater","DM02",0,0,0,0,1,8,37.8920305021813,0,28.2834560691109,600.110254296122
"Crater","DM09",0,NA,0,0,0,8,37.9023864590159,0,46.493811557818,365.093360057592
"Crag 04","RG09",0,NA,0,0,0,5,36.160835268329,6,0.00409932391022831,1067.08930975004
"Crag 04","RM04",0,NA,0,0,0,5,36.151348100956,2,2.16103177305574,982.524250320812
"Crag 04","RG03",1,NA,1,NA,NA,5,36.1597705757529,8,30.0624909146081,746.576998256768
"Manter","RM04",0,NA,0,0,0,9,36.0286100224603,5,27.5635064264647,-136.535171794593
"Crag 04","RG02",1,NA,1,NA,NA,5,36.1576084073813,4,70.7329262986283,745.536600556984
"Crag 04","RM03",0,0,0,0,1,5,36.1504028798042,0,31.9587307661336,782.069426392648
"Crag 04","RG01",0,NA,0,0,1,5,36.1554879075723,1,19.6699535933731,664.516253042582
"Manter","RG01",0,0,0,0,0,9,36.0550431887513,5,1.15558731267693,-243.815993321536
"Crag 04","RM09",0,0,0,0,0,5,36.1571559821750,0,67.9156008353156,825.318901440603
"Manter","RG04",0,NA,0,0,0,9,36.0504331622792,4,23.4020694241425,-246.034257634583
"Manter","RM03",0,0,0,0,0,9,36.0301948793224,1,5.7961971824163,-195.772566321551
"Manter","RG07",0,0,0,0,0,9,36.0452035321535,0,0.994569393204617,-268.550664416296
"Manter","RG05",0,0,0,0,0,9,36.04869369932,1,16.9250211030615,-246.871256864330
"Crag 04","RG04",0,0,0,0,0,5,36.1618728179905,7,80.0543600957948,787.588560546326
"Crag 04","RG05",0,NA,0,0,0,5,36.1629964152039,0,4.34487017702167,1068.12921592343
"Manter","RG06",0,NA,0,0,0,9,36.0469087350977,0,26.7375334539384,-247.730150508075
"Dexter","RS01",0,0,0,0,0,6,37.8324334692067,3,32.5111181322087,1411.43320174314
"Dexter","RS05",0,1,1,NA,NA,6,37.8365169227406,18,87.4287747903876,1413.39808834479
"Bell","HP04",0,NA,0,0,0,8,41.7279966433118,3,29.2907170594871,81.9102401364037
"Bell","HP01",0,0,0,0,0,8,41.7211587509156,0,8.13745934310061,119.619965607453
"Bell","RM01",0,0,0,0,0,8,41.718701577579,0,60.9549214544315,131.437616665089
"Bell","HP05",0,0,0,0,0,8,41.7301915494087,0,85.5457834356757,36.9663906584705
"Bell","HP06",0,NA,0,0,0,8,41.7324237086664,0,35.4316443006055,63.0404667516041
"Bell","RM05",0,0,0,0,0,8,41.7097116420897,1,83.5991734179462,197.111816543726
"Bell","HP08",0,NA,0,0,0,8,41.7343549390257,0,6.11385049292446,66.9697411087531
"Bell","RM07",0,0,0,0,0,8,41.7116533328858,0,99.1874599811324,178.046124280575
"Bell","HP07",0,0,0,0,0,8,41.734583056241,3,23.2464339869023,61.0795071330819
"Bell","HP09",0,0,0,0,0,8,41.733545979267,4,27.6068186756216,103.580483785769
"Bell","RM03",0,0,0,0,0,8,41.7143099113053,4,95.6036455310194,149.324423470058
"Bell","RM04",0,NA,0,0,0,8,41.7119628503589,0,93.041333595735,168.195058688869
"Bassetts","RG04",0,0,0,0,0,3,39.6209982119111,7,78.1216615948262,-27.9406469047279
"Hooker","RG02",0,NA,0,0,0,6,36.1014325962584,17,0.111775890757125,798.505780273292
"Hooker","RG03",0,0,0,0,0,6,36.1033145707995,0,0,799.411353590029
"Hooker","RG04",0,NA,0,0,0,6,36.1057232717536,1,0.147719871263419,800.570378467569
"Albanita","RG04",0,0,0,0,0,6,36.1104764370819,1,20.6534453293372,402.857518701057
"Albanita","RG05",0,NA,0,0,0,6,36.1125273620426,1,7.51747121428358,463.844388012239
"Hooker","RM02",0,NA,0,0,0,6,36.099323138073,1,0.971964726053563,877.490745795538
"Mud","JS09",0,0,0,0,0,6,38.4516119871024,13,9.9983474023051,909.371102526513
"Cone","HP02",0,NA,0,0,0,7,40.7486478738769,0,52.458453385968,536.664697749293
"Mud","RS08",0,NA,0,0,0,6,38.4241708860179,7,70.8487852628025,816.16692341499
"Mud","JS04",0,NA,0,0,1,6,38.4405242852751,1,17.6362229884145,804.03589384039
"Mud","RS06",0,NA,0,0,0,6,38.4268831995784,4,43.1874073951107,737.472041381984
"Mud","JS10",0,NA,0,0,0,6,38.4537044594412,12,39.3944432883071,975.37796371121
"Mud","JS08",0,NA,1,NA,NA,6,38.4493753774420,10,100,908.294884977241
"Mud","JS07",1,NA,1,NA,NA,6,38.4471658641279,24,97.554764710018,907.231705717094
"Angora","DM09",1,NA,0,0,0,2,38.8763431522237,27,100,303.744329432986
"Mud","JS11",0,NA,0,0,0,6,38.4557062318061,9,56.1300259546974,996.341181650798
"Mud","JS02",0,NA,0,0,0,6,38.4360414789256,8,5.37777396317523,651.87884563089
"Kibbie","RS01",0,NA,0,0,0,6,38.0315163628169,6,11.3446707037614,-192.771583000221
"Mud","JS03",0,0,0,0,0,6,38.4382632656741,5,14.0804190152867,772.947930653551
"Dexter","DM07",0,NA,0,0,0,6,37.8223879846401,2,0.271072550644488,1706.59948982062
"Mud","JS05",0,0,1,NA,NA,6,38.4426310189588,4,15.3795364546859,850.049617335455
"Dexter","DM06",0,0,0,0,0,6,37.8237361804089,7,0,1607.24821810429
"Mud","RS09",0,0,0,0,1,6,38.423901500465,5,85.1335191408312,836.037299786567
"Mud","RS10",0,NA,0,0,1,6,38.4248165412455,3,25.4665476423404,856.477601446578
"Crag 04","RM01",0,0,0,0,0,5,36.1497485686934,0,8.7287538278112,501.754583301073
"Bassetts","RG03",0,NA,0,0,0,3,39.6232237171099,10,23.0295965176555,173.130227371348
"Mud","RS02",0,NA,0,0,0,6,38.4329148067360,0,68.8234389810449,700.374345520366
"Whit","RS02",0,NA,0,0,0,6,38.3874577042792,9,62.1122982635666,178.501180850989
"Mud","RS03",1,NA,0,1,NA,6,38.4313693115909,6,84.4303830006777,699.630680218851
"Bell","HP10",0,NA,0,0,0,8,41.73318679949,3,34.7223611427276,113.407652743234
"McNally","RG05",0,0,0,0,0,7,35.9667175369896,2,70.4974716497803,-2746.31675604282
"Manter","RG10",0,NA,0,0,0,9,36.0399004855905,0,8.49770941993506,-351.102397906835
"Storrie","RM05",0,0,0,0,0,9,39.9970191120009,5,0,952.994050255256
"Storrie","HP08",0,NA,0,0,0,9,39.9788043485272,0,99.9333970765271,264.229423841757
"Storrie","RM06",0,NA,0,1,NA,9,39.9976813189967,6,0.362999347653093,833.312692708943
"Stream","RM03",0,0,0,0,0,8,40.1791503998087,3,100,-319.367551466903
"Manter","RM01",0,0,0,0,0,9,36.0336746141243,3,44.9581016968251,-234.098178641430
"Storrie","HP05",0,0,0,0,0,9,39.9809000404395,0,56.4536289077826,505.237834229059
"North Fork","RM05",0,NA,0,0,0,8,37.2780448980571,2,0,-1475.32890697463
"Storrie","RM03",0,0,0,0,0,9,39.9932061877639,10,2.01212459323862,751.159337631703
"Manter","RM02",0,NA,0,0,0,9,36.0317975076973,3,31.971795213622,44.9985904934095
"Bucks","HP01",0,0,0,0,0,10,39.9296786228904,0,18.5376834976988,-319.409018299985
"Bucks","HP08",0,NA,0,0,0,10,39.9418726923349,0,17.8529985350635,-313.54144481787
"Plum","DM07",0,NA,0,0,0,7,38.7643126292648,0,1.70893162852549,-1400.16280375935
"Freds","DM01",0,NA,0,0,0,5,38.7893701144103,0,74.1002980582379,-508.105579053729
